Duplicate names: 
Black Spinetail 
Masked Finch 
White-bellied Seedeater 
White-breasted Fruit-Dove 
Black-billed Cuckoo 
Grey-breasted Woodpecker 
Long-billed Honeyeater 
Rufous-tailed Hummingbird 
Green-backed Honeyeater 
Grey Flycatcher 
Black-faced Antbird 
White-throated Flycatcher 
White-throated Swallow 
White-tailed Nuthatch 
Black-cheeked Woodpecker 
Yellow-throated Bulbul 
Grey-capped Flycatcher 
Black-backed Barbet 
Dusky Warbler 

Part duplicate names:
Willipa Flowerpecker 
Sijian Thornbill 
Red-chested Emerald 
Green-breasted Night-Heron 
Hildaone Duck 
Cinnamon Greenbul 
Grey-headed Crage 
Brown Flamiaga 
Bied-chssted Hemispingus 
Turce Seedeater 
African Owl 
White-bellied Myzamel 
Black-headed Kittih 
Yellow-crowned Mazina 
White-throated Scrubfololo 
Lezaled Rosefinch 
Beruld's Bush Warbler 
Sula Cisticola 
Veeart Pewee 
Southern Shoute-thrat 
Golden-breasted Bushshrike 
Haltand's Spinetail 
Red-chested Sapphiiro 
New Zealand Shan 
Golden-backed Bulbul 
Waringic Bittern 
White-throated Fryatca 
Northern Parrot 
Rufous-tailed Xeoease 
Olinow Flamey Flycatcher 
Peruian Piculet 
Grey Tanager 
Sulphur-billed Shrike 
Midalayan Lapwing 
North Woodswald-Parrot 
Plain Cockatoo 
Whopheriage Cisticola 
White-cheeked Lory 
Pied Waxbill 
Eastern Owl 
Bupulch's Buttonquail 
White-bearded Murnelet 
Black-throated Bulback 
Crested Goldentill 
Maor-billed Sunbird 
Black-aned Friarbird 
Ocrel-tailed Laughingthrush 
Moustang Kingfisher 
Yellow-collared Coucal 
Marage-tailed Duck 
Red-capped Buzzard 
Bare-tailed Eagle 
Western Antbird 
Archura White-eye 
Australasian MWoopstar 
Scaly Platfail 
Vieram Pitta 
Asa-breasted Woodpecker 
Lesser Bayhail 
Yellow-collared Robin 
Spillaces Warbler 
Blackland's Petronia 
Hemer's Thrush 
Violet-browed Tody-Flycatcher 
Tibbean Brushfinch 
New Zealand Rail 
Southern Cucardora 
Maakion's Flycatcher 
South Island Grosbeak 
Chilipin's Cisticola 
Rusty-tailed Barbet 
Sygmea Imperial-Pigeon 
Yellow-chested Owlet 
Dorolie Greenbul 
Hiller Elaenia 
Hankadus Thrush 
Mogunninva Penduline-Tit 
Chinese Teal 
Lazupi's Bunting 
St. Lunglee Manakin 
Black-rumped Leafbird 
Spotted Antshrike 
Black-tailed Yhorot 
Lesser Very 
Mierjonian Petrel 
Super Antillean Pigphit 
White-winged Oriole 
Harro Quail-Dove 
Scarlet-breasted Hounefish 
Masked Cuckooshrike 
Brown Rail 
White-necked Flycatcher 
Golden-bellied Thicktarige 
White-headed Swallow 
Rufous-throated Tyrannulet 
Great Kingfisher 
Chimbard's Greenbul 
Striated Nighitah-Parthrouus 
Jouiane Bush Warbler 
Yellow-lored Grosbeak 
Russet-rumped Sunangel 
White-necked Warbler 
Papaick Barbet 
Crimson Tyrannulet 
Grey-headed Qauas-Dove 
Blush-footed Treecreeper 
Orange-browed Miner 
Cistan Yellowthroat 
Gyend Waxbill 
Hawairan Weaver 
Sphit-winged Antpitta 
Black Brushfinch 
Snowy Buzzard 
Guiacana Sunbird 
Peucoring Corella 
Verpe's Penduline-Tit 
White-billed Wheatear 
Aadian Green Laughingthrush 
Brazilial Guan 
Purply-throated Antpitta 
Great Adperil 
Yellow-eyed Nightjar 
Dork Prinia 
Nineska Read Warbler 
Soroth Dordgen Bunting 
Saa-treaked Trogon 
Ruppell's Blackbird 
Olive-rumped Woodpecker 
Pilfodsine Wheatear 
Golden-throated Weaver 
Eures's Buttonquail 
Indian Thrush 
Vied'rian Puffleg 
Golden-breasted Elmatris 
Murf Cuckoo 
Southern White-tood 
Bearded White-eye 
Harmy Quail 
Black-headed Sandpiper 
TobHon Warbler 
White-collared Coucal 
White-throated Tanager 
Yellow-browed Blue Maul 
Blue-fronted Omiole 
Madagascar Rosefinch 
Pervon Green Parrot 
Black-breasted Flycatcher 
Rufous-breasted Warbler 
Grey-winged Woodpecker 
Golden-bellied Ecrush 
Hiatonis White-eye 
Short-tailed Ibis 
Short-billed Parrot 
Halum's Antthrush 
Pechiatan Gull 
Rossian Thrush 
Yellow-cheeked Maskina 
Cinsor Flycatcher 
Brown-headed Wren 
Afican Goose 
White-browed Sliby 
Srow Lorikeet 
Necklared Pigeon 
Olive-crested Petronia 
Spangled Doro 
Scarlet-rumped Lark 
Grey-rumped Woodswarl 
Crilees's Antwren 
Yellow-breasted Antshrike 
Northern Virecobar 
Dmark-billed Duck 
Olive-bellied Woodpecker 
Slatt-winged Canastero 
Asiam Flycatcher 
Jceitor Sparrow 
Firt-tailed Scops-Owl 
Median Oystercatcher 
Yellow-tipped Nightjar 
Australasian Cisticola 
Green Gnateater 
Black-billed Pourtain Finch 
Common Stide 
Yellow-tailed Illabdd Guil 
Streak-cheeked Sunbird 
Vierada Bushshrike 
Crested Pewee 
Penrus Sparrow 
White-eared Towher 
Common Bronzenturin 
Mountain Crested-Tyama 
Bard-hinged Parrot 
St. Linca Waxbill 
Vinolio Tanager 
Kifruchine Robin 
Blue-capped Drongo 
California Falcon 
Corene's Storm-Petrel 
Elagous Blue-Flycatcher 
Grey-cheeked Tern 
Brown Lozzuren 
Chirbing Bunting 
Mingoling Honeyguide 
Plain-banded Redstart 
Black-backed Starmater 
Sooty-throated Spinetail 
Tondan Pygmy-Tyrant 
Southern Storelia 
Lesser Sholkeer 
Golden-bleaked Trogon 
Mouta Miner 
Red-eyed Thrush 
Black-necked Flowerpecker 
Black-bellied Nigulaher 
Chersin's Laughingthrush 
Lesser Lang' Elaenia 
Blue-headed Cacique 
Collared Boobook 
Shillan's Parakeet 
Large's Pigeon 
Grey Minivet 
Lozuian Drongo 
New Zahaland Tanager 
Pink-billed Boubou 
Chestnut-backed Woodpecker 
Striawed Scrubfowl 
Greater Spearwlet 
Yellow-collared Babbler 
Chaffen's Parrotbill 
Pale Fagby-Fnych 
